order_placement_date,requested_delivery_date,order_delivery_date,order_quantity,quantity_unit,product_name,material_id,country,origin_region,warehouse_names,company_id,order_id
2020-08-13,2020-09-08,2020-09-08,1000.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COER82357,23c60cjbmuvhgqk820ps
2020-09-15,2020-09-22,2020-09-22,100.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,COIU94847,5i5ftojtbpgt9967st8l
2020-04-02,2020-06-02,2020-06-02,2196.0,KG,Gelatin,E164938,The Netherlands,APAC,Enschede,COVQ64536,i72w4oebmqpjbmwmnohg
2019-09-16,2019-09-19,2019-09-19,25.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,COBE05528,3vtl1drz0xv6ddd27d9a
2019-06-13,2019-08-01,2019-08-01,2000000.0,G,Citric Acid,E235421,United Kingdom,EU,Bristol,COQZ30137,lk7ybzgazni37zcgacep
2022-03-25,2022-03-29,2022-03-29,25.0,KG,Citric Acid,E235421,United Kingdom,EU,Swansea,COJB63713,l2u5cfp37cdhzg58xyjw
2018-02-01,2018-02-14,2018-02-14,1000.0,KG,Sugar,E131096,United Kingdom,EU,Swansea,COAI47853,wbk8r1z4qt7zvnbi1cao
2020-10-09,2020-11-17,2020-11-27,1000.0,KG,Citric Acid,E235421,The Netherlands,EU,Moerdijk,COPN12688,8w81ayuam75psz1ctw68
2020-08-17,2020-08-19,2020-08-19,575.75,KG,Gelatin,E164938,The Netherlands,APAC,Rotterdam,COBX47331,9mw68m1inufncc8uuxop
2022-04-20,2022-05-29,2022-05-29,1.5,MT,Citric Acid,E235421,United Kingdom,EU,Swansea,COUM94113,63ctzrbzirjyz8xuku8n
2020-03-27,2020-04-10,2020-04-10,575.75,KG,Gelatin,E164938,The Netherlands,APAC,Moerdijk,COJO26899,iarn4flhw3chnj6gdtgc
2019-09-23,2019-10-03,2019-10-03,0.57575,MT,Gelatin,E164938,The Netherlands,APAC,Rotterdam,COHV48906,g8zf2l4c0bb6pyma1t6s
2022-03-09,2022-03-17,2022-03-17,1146.8,KG,Gelatin,E164938,The Netherlands,APAC,Moerdijk,COBC87274,if6dohe7ky87q19u9q44
2019-08-22,2019-10-02,2019-10-02,300.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,COOI63648,dvvpgb8iy525fnscqqav
2017-10-18,2017-10-23,2017-10-23,2000.0,KG,Sugar,E131096,United Kingdom,EU,Lutterworth,COZD36000,aqdmfztgp8d20gm62s60
2019-10-15,2019-10-18,2019-10-18,50.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,COCI64119,yup1shntcvl0yqzdubb9
2018-04-03,2018-04-06,2018-04-06,25.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,COJX99827,mit3vhtn7su62j8lbdsg
2019-12-17,2020-01-06,2020-01-06,1.0,MT,Sugar,E131096,United Kingdom,EU,Lutterworth,COCY03682,1fbtwtw4ixfjjrkhe0sd
2017-08-23,2017-09-15,2017-09-15,24000.0,KG,Citric Acid,E235421,United Kingdom,EU,Bristol,COED41878,p8mvhaewabhb7zhezr4e
2022-08-25,2022-09-07,2022-09-07,360.96,KG,Gelatin,E164938,The Netherlands,APAC,Rotterdam,COZK41556,5izb1edmbjhy3m2i3qm6
2018-10-23,2019-06-05,2019-06-05,1000.0,KG,Sugar,E131096,United Kingdom,EU,Bristol,COZI72220,dtecafvo5y0qnv4f0te2
2019-02-21,2019-02-28,2019-02-28,29.14,KG,Gelatin,E164938,The Netherlands,APAC,Enschede,COOW67209,j403cnfu2hersnun446q
2021-05-19,2021-05-25,2021-05-25,2000.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COBA28112,16nz7dsonkk1jxpp9yvg
2020-03-05,2020-03-31,2020-03-31,22.0,MT,Citric Acid,E235421,United Kingdom,EU,Lutterworth,COPN87341,ipaxnqege5ekfhoe3mxz
2018-09-10,2018-10-08,2018-10-08,25.0,KG,Gelatin,E164938,France,APAC,Villebon sur Yvette,CONX23985,jfy4w8tr98w07fil3dvy
2017-03-23,2017-03-28,2017-03-28,500.0,KG,Gelatin,E164938,France,APAC,Tournan en Brie,COUE21386,jhmie8989gnctijh33ic
2020-10-30,2020-12-03,2020-12-03,1000.0,KG,Sugar,E131096,United Kingdom,EU,Bristol,CODW72810,44tonznq06ujlqv62j16
2018-03-16,2018-03-22,2018-03-22,25.0,KG,Citric Acid,E235421,United Kingdom,EU,Lutterworth,CORL29041,w8minq4o7vs8chkcmnt6
